"The Anvil",信念之砧
"Araku Tiki",隱靈之符
Astramentis,均衡之符
"Atziri's Foible",阿茲里聖徽
"Carnage Heart",屠戮之心
"Daresso's Salute",德瑞索的戰禮
"Demigod's Presence",昇華之印
"Eye of Chayula",夏烏拉之眼
"The Ignomon",烈陽徽記
"Karui Ward",卡魯的戰徽
"Marylene's Fallacy",瑪莉琳的護體之符
Sidhebreath,魔靈之符
"Stone of Lazhwar",拉茲瓦的靈石
"Victario's Acuity",維多里奧的捷思
"Voll's Devotion",福爾的忠誠之符
Auxium,奧術之符
"Demigod's Bounty",昇華珍寶
"Doryani's Invitation",多里亞尼之約
Headhunter,獵首
"Immortal Flesh",永生
"The Magnate",堅毅之環
"Meginord's Girdle",梅吉諾德的力量泉源
"Perandus Blazon",普蘭德斯之印
Sunblast,日炎
"Wurm's Molt",龍蛻之帶
Andvarius,貪慾之記
"Berek's Grip",貝雷克的冰與雷之曲
"Berek's Pass",貝雷克的冰與火之歌
"Berek's Respite",貝雷克的火與雷之樂
Blackheart,幽暗之語
"Death Rush",亡者呼喚
"Doedre's Damning",德瑞的魔具
"Dream Fragments",夢語之痕
"Gifts from Above",神賜
"Kaom's Sign",岡姆的遠見
"Le Heup of All",英靈寶環
"Lori's Lantern",羅里的幸運之燈
"Ming's Heart",明恩的慧心
"Perandus Signet",普蘭德斯之記
"Romira's Banquet",羅米拉的潛力之環
"Shavronne's Revelation",薛朗的啟示之環
"The Taming",元素之章
"Thief's Torment",竊罪
Voideye,虛空慧眼
Blackgleam,黑炎之芒
Drillneck,穿心
"Hyrri's Bite",西里的嗜血之矢
Rearguard,寒鋒之衛
"Ambu's Charge",安姆布的戰甲
Ashrend,拂燼
"Belly of the Beast",獸腹
Bramblejack,刺棘寶甲
Briskwrap,荒途
"Bronn's Lithe",布隆的影衣
"Carcass Jack",致命之體
"Cloak of Flame",烈炎之袍
"Cloak of Defiance",衛道之袍
"The Covenant",血誓
"Daresso's Defiance",德瑞索的衛衣
"Death's Oath",冥使之體
Foxshade,狐毛鎧
"Hyrri's Ire",西里的戰衣
Icetomb,冰息
"Incandescent Heart",烈炎之心
"Infernal Mantle",煉獄之心
"Kaom's Heart",岡姆的壯志
"Lightbane Raiment",魔道之衣
"Lightning Coil",雷語
"Queen of the Forest",森林之后
"Shavronne's Wrappings",薛朗的護身長袍
"Solaris Lorica",烈陽鎧
"Soul Mantle",祖靈之約
"Tabula Rasa",無盡之衣
"Thousand Ribbons",千縷
"Vis Mortis",兀鳴
"Voll's Protector",福爾的戰鎧
"Zahndethus' Cassock",札德圖斯的聖衣
"Alberon's Warpath",阿爾貝隆的征途
"Atziri's Step",阿茲里的金履
"The Blood Dance",血影
"Bones of Ullr",烏勒爾之骨
"Darkray Vectors",暗雷
Deerstalker,獵蹤
"Demigod's Stride",昇華之途
Dusktoe,迎暮
Goldwyrm,龍炎足跡
"Lioneye's Paws",獅眼的鬥志
"Victario's Flight",維多里奧的飛昇
Rainbowstride,虹幕
"Shavronne's Pace",薛朗的秘術長靴
"Sin Trek",敏銳思維
Sundance,日耀
"Wake of Destruction",覆滅之兆
Wanderlust,苦行之履
Windscream,惡風足跡
Wondertrap,迴光之跡
"Asenath's Gentle Touch",安賽娜絲的安撫之語
"Atziri's Acuity",阿茲里的捷思
Aurseize,富貴之運
"Demigod's Touch",昇華之指
"Meginord's Vise",梅吉諾德的巨力腕甲
"Doedre's Tenure",德瑞的精神手套
Facebreaker,毀面者
Voidbringer,虛空之力
Hrimsorrow,冰冷之眼
"Lochtonial Caress",意識之緣
"Maligaro's Virtuosity",馬雷葛蘿的血染手套
"Ondar's Clasp",恩德的迅影
"Sadima's Touch",獵寶者的護手
"Shackles of the Wretched",悲運之縛
Slitherpinch,蒼蟒之鱗
Snakebite,蝮吻
Thunderfist,轟天雷
"Vaal Caress",瓦爾的靈手
Abyssus,深淵之喚
"Alpha's Howl",極地之嗥
"Asenath's Mark",安賽娜絲的迅敏之冠
"The Bringer of Rain",祭禮之雨
"Chitus' Apex",切特斯的威權
"Crown of Eyes",邪眼之冠
"Crown of Thorns",刺棘之冠
Deidbell,喪鐘
"Demigod's Triumph",昇華之冠
"Devoto's Devotion",德沃托的信念之盔
"Ezomyte Peak",艾茲麥的榮光
"Fairgraves' Tricorne",費爾之帽
"Geofri's Crest",吉爾菲的榮光
Goldrim,金縷帽
"The Gull",鷗喙
Heatshiver,寒焰
Honourhome,私慾的光輝
"Hrimnor's Resolve",雷姆諾的豪情
"Leer Cast",共鳴之面
"Malachai's Simula",瑪拉凱的祭具
Mindspiral,靈漩
"The Peregrine",疾風的沉思
"Rat's Nest",鼠巢
"Rime Gaze",酷寒的凝視
Skullhead,光輝之顱
"Starkonja's Head",斯塔空加之首
"The Three Dragons",三龍戰紀
"Veil of the Night",夜幕
"The Vertex",謎容
"Aegis Aurora",幻芒聖盾
"Atziri's Mirror",阿茲里之鏡
"Chernobog's Pillar",五芒屏障
"Crest of Perandus",普蘭德斯之徽
"Daresso's Courage",德瑞索的勇者之盾
Kaltenhalt,冰霜之鏡
"Lioneye's Remorse",獅眼的榮耀之盾
"Matua Tupuna",遠祖之顱
"Prism Guardian",元素的庇護
"Rathpith Globe",獻祭之心
"Rise of the Phoenix",烈炎之翼
"Saffell's Frame",薩費爾的智慧
Springleaf,新生之徽
"Titucius' Span",提圖庫斯的堅盾
"Wheel of the Stormsail",暴雨之舵
"The Screaming Eagle",鷹嘯
"Soul Taker",開膛斧
Dyadus,龍鳳吟
"Chin Sol",亂矢之弦
Darkscorn,夜吟
"Death's Harp",冥使之琴
Infractem,穿雲
"Lioneye's Glare",獅眼的戰弓
"Quill Rain",驟雨之弦
Silverbranch,幻銀之弦
"Storm Cloud",暴雨之弦
"Voltaxic Rift",魔暴之痕
Windripper,裂風
"Al Dhih",鬣犬之牙
Bloodseeker,嗜血之爪
"Cybil's Paw",希比爾的冰爪
"Essentia Sanguis",精華收割器
"Last Resort",終息
"Mortem Morsu",噬魂之牙
"Bino's Kitchen Knife",比諾的廚刀
Divinarius,戒律之影
Heartbreaker,裂心刃
Mightflay,力量獵刃
"Ungil's Gauche",恩吉爾的叉刃
Brightbeak,光耀之錘
"Doon Cuebiyari",黑鋼
Mjölner,沉默之雷
"Mon'tregul's Grasp",凋靈魔爪
"Nycta's Lantern",奈可妲之燈
"The Supreme Truth",無上箴言
"Doryani's Catalyst",多里亞尼的幻化之杖
Aurumvorax,靈護
"Ephemeral Edge",影殞
"The Goddess Bound",女神的靈縛
"The Goddess Scorned",女神的怒炎
"Prismatic Eclipse",虹耀之月
"Rebuke of the Vaal",瓦爾戰刃
Redbeak,赤紅短刃
"Dying Breath",亡者之息
Fencoil,綠藤
"Pillar of the Caged God",囚神杵
"The Searing Touch",熾炎之使
"Taryn's Shiver",塔林的顫慄之語
Lifesprig,生機之記
"Midnight Bargain",冥約
Moonsorrow,泣月
"Void Battery",潛能魔棒
"Song of the Sirens",海妖魅曲
"Atziri's Promise",阿茲里的諾言
"Blood of the Karui",卡魯之血
"Divination Distillate",寶視精華
"Doedre's Elixir",德瑞的妙藥
"Lavianga's Spirit",拉維安加之泉
"Acton's Nightmare",輪迴的夢魘
"The Coward's Trial",懦者的試驗
"Maelström of Chaos",混沌之淵
"Mao Kun",賊窩
"Olmec's Sanctum",遠古之印
"Poorjoy's Asylum",沉淪之間
"Vaults of Atziri",阿茲里的秘寶庫
"Atziri's Disfavour",阿茲里的刑刃
"The Blood Reaper",竭血之鐮
"Kaom's Primacy",岡姆的霸業
Limbsplit,斷罪
"Reaper's Pursuit",死神的取魂器
Wideswing,闊斬
"Wings of Entropy",亂世之翼
"Chober Chaber",忠誠之錘
"Geofri's Baptism",吉爾菲的淨罪之錘
"Hrimnor's Hymn",雷姆諾的奪命樂具
"Kongor's Undying Rage",康戈的戰炎
"Marohi Erqi",爾奇的巨靈之錘
Quecholli,重擊之錘
Voidhome,逝空之錘
"Oro's Sacrifice",歐羅的貢品
"Queen's Decree",威嚴之刃
"Rigwald's Charge",瑞佛的奮戰長劍
Shiversting,寒光劍
"Terminus Est",行刑之刃
"Atziri's Splendour",阿茲里的威權
Doomfletch,滅世
"Asphyxia's Wrath",冰靈之吼
"Hyaon's Fury",海昂的狂怒
"Kaom's Roots",岡姆的穩重之靴
"Jaws of Agony",苦痛狂鯊
"Forbidden Taste",禁果
"Death and Taxes",亡者之財
"Soul Strike",靈魂打擊
"Pledge of Hands",誓約
Pyre,燃焰
"Rumi's Concoction",魯米的靈藥
"Thousand Teeth Temu",千齒
"Piscator's Vigil",皮斯卡托的慧眼
"Chalice of Horrors",恐懼之缶
Craghead,岩頭
"Edge of Madness",瘋狂邊界
"Flesh and Spirit",肉體與魂靈
"Shadows and Dust",沙塵之影
Dreamfeather,幻夢飛羽
"Apep's Rage",艾普之怒
"Gang's Momentum",剛勇
"Hegemony's Era",霸權時代
"Mark of the Doubting Knight",迷茫幻符
"Mokou's Embrace",莫考之擁
"The Dark Seer",黯黑賢者
"The Harvest",收割者
"Cherrubim's Maleficence",薛魯賓的惡作劇
"Null and Void",虛空
"Untainted Paradise",純淨樂園
"Oba's Cursed Trove",歐霸的咒怨寶庫
"Whakawairua Tuahu",禁閉祭壇
"Sentari's Answer",山特立的回應
"Agnerod East",東方雷霆聖杖
"Demigod's Eye",昇華之眼
"Agnerod North",北方雷霆聖杖
"Bated Breath",凝息
"Belt of the Deceiver",狡徒束腰
Doomsower,終末之始
"Great Old One's Ward",邪神庇護
Kikazaru,基加薩魯
"Brutus' Lead Sprinkler",布魯特斯的刑具
"Malachai's Artifice",瑪拉凱的巧技
"Maligaro's Lens",馬雷葛蘿的染血透鏡
"Maligaro's Restraint",馬雷葛蘿的染血之環
"Maloney's Nightfall",馬洛尼的暮光
"Ngamahu's Sign",拿瑪乎之印
"Valako's Sign",瓦拉庫之印
"Tasalio's Sign",塔薩里之印
"Nomic's Storm",諾米克的風暴
Prismweave,幻彩菱織
"Reverberation Rod",混響
"Scold's Bridle",禁語
"Sibyl's Lament",希比爾之嘆
"The Blood Thorn",血棘
"The Broken Crown",缺角帝冠
"The Rat Cage",疫鼠囚籠
Timeclasp,時光之握
"Ungil's Harmony",恩吉爾的和諧
"Taste of Hate",恨意
"Warped Timepiece",扭曲之鐘
"Greed's Embrace",貪婪之擁
"Hall of Grandmasters",元帥殿堂
"Rashkaldor's Patience",拉什卡德的耐心
"Blood of Summer",炎夏之血
"Rust of Winter",霜刃
"Ashes of the Sun",燼杵
"Splinter of the Moon",碎月
"Thunder of the Dawn",曙雷
"Vestige of Divinity",莊重之杖
"Fragment of Eternity",亙古之靈
"Relic of the Cycle",輪迴之記
"Scar of Fate",命運傷痕
"Tear of Entropy",亂世之淚
"Remnant of Empires",帝國的殘壁
"Chains of Time",時空之鏈
"Black Sun Crest",黑陽之冠
"The Whispering Ice",冰點低語
"The Consuming Dark",蠶食之闇
"Sire of Shards",破碎傳承者
"Null's Inclination",虛無之傾
"Dyadian Dawn",戴亞迪安的晨曦
"Empire's Grasp",帝國之掌
"Lioneye's Vision",獅眼的視線
"To Dust",塵埃落定
"Eldritch Knowledge",異能知識
"Fluid Motion",流暢行動
"Intuitive Leap",直覺之躍
"Lioneye's Fall",獅眼的隕落
"Selfless Leadership",無私領導
"Doedre's Scorn",德瑞的蔑視
"Shaper's Seed",塑界者之籽
Brawn,筋骨強化
Inertia,慣性
"Vampire's Might",吸血鬼的力量
"Survival Secrets",生存秘技
"Survival Skills",生存技巧
"Inspired Learning",求知的熱情
"Martial Artistry",武藝之相
"Survival Instincts",生存本能
"Fertile Mind",豐富心靈
"Cannibalistic Habits",同族相殘
"Spire of Stone",石塔
Apparitions,映像
"Mantra of Flames",烈炎之兆
"Fortified Legion",堅守軍團
Hotheaded,腦衝
Combustibles,燃盡
"Weight of Sin",罪惡的重量
"The Naming Temporary",暫名
"Fragile Bloom",脆弱的繁華
"Rain of Splinters",碎鏃雨
"Malicious Intent",不善意圖
"Clear Mind",理智
Specialised,熟稔
"Miser of Misery",悲慘賜予者
"Efficient Training",充分訓練
"Brute Force Solution",蠻力衝撞
"Careful Planning",審慎計畫
"Atziri's Reign",阿茲里之權
"Blood of Corruption",墮落之血
"Tear of Purity",純淨之淚
Twyzel,峽灣之星
"Vaal Sentencing",瓦爾之訴
Southbound,南方
"Tremor Rod",顫抖之杖
"Relentless Fury",無盡憤怒
Ichimonji,一文字
"Fairgraves' Bearing",費爾之儀
"Fidelitas' Spike",費德利塔斯之鋒
"Hidden Potential",深藏的潛能
"Fevered Mind",狂熱之心
"Sacrificial Harvest",原生祭儀
"Blood Sacrifice",血犧
Self-Flagellation,殘虐之歡愉
Powerlessness,無力
"Poacher's Aim",盜獵者的準心
"Warlord's Reach",督軍之力
"Assassin's Haste",刺殺者迷影
"Conqueror's Efficiency",征服者的迅捷
"Conqueror's Potency",征服者的力量
"Conqueror's Longevity",征服者的長生
"Chill of Corruption",腐化寒息
"Ancient Waystones",遠古基石
"Mutated Growth",墮落異體
"Hungry Abyss",饑饉深淵
"Zerphi's Youth",澤佛伊的青春
"Corrupted Energy",腐化能量
"Brittle Barrier",易碎屏障
Pacifism,和平主義
Fragility,虛弱
"Talisman of the Victor",勝者護符
"Heartbound Loop",結魂之環
Pugilist,迅擊者
"Cold Steel",冷鋼
"Anatomical Knowledge",真知灼見
Fireborn,炎域
"Energised Armour",能量堅甲
"Energy From Within",潛能防護
"Static Electricity",靜電之源
"Healthy Mind",靈體轉換
"Might in All Forms",卓絕之力
"Lion's Roar",獅吼精華
"Callinellus Malleus",堅定之刃
"The Restless Ward",無盡之衛
Gorebreaker,血裂
"Lavianga's Wisdom",拉維安加的智慧
"Lakishu's Blade",拉奇許之刃
Repentance,悔悟之掌
