"Gain a Power Charge after Spending a total of 200 Mana","总计消耗 200 点魔力后可以获得 1 个暴击球"
"Projectiles Pierce 2 additional Targets","投射物会穿透 2 个额外目标"
"Cannot be Stunned while you have at least 25 Rage","当你的怒火至少有 25 点时，免疫晕眩"
"25% increased Lightning Damage","闪电伤害提高 25%"
"5% increased Cast Speed with Lightning Skills","闪电技能施法速度加快 5%"
"+15% to Lightning Resistance","+15% 闪电抗性"
"12% increased Lightning Damage","闪电伤害提高 12%"
"12% increased Fire Damage","火焰伤害提高 12%"
"25% increased Fire Damage","火焰伤害提高 25%"
"5% increased Cast Speed with Fire Skills","火焰技能施法速度加快 5%"
"+15% to Fire Resistance","+15% 火焰抗性"
"25% increased Cold Damage","冰霜伤害提高 25%"
"5% increased Cast Speed with Cold Skills","冰霜技能施法速度加快 5%"
"+15% to Cold Resistance","+15% 冰霜抗性"
"12% increased Cold Damage","冰霜伤害提高 12%"
"+10 to Intelligence","+10 智慧"
"10% increased Elemental Damage","元素伤害提高 10%"
"10% increased Physical Damage with Two Handed Melee Weapons","物理伤害在使用双手近战武器时提高 10%"
"3% increased Attack Speed with Two Handed Melee Weapons","双手近战武器攻击的攻击速度加快 3%"
"10% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持双手武器时，攻击技能造成的异常状态伤害提高 10%"
"10% increased Attack Speed with Two Handed Melee Weapons","双手近战武器攻击的攻击速度加快 10%"
"20% increased Stun Duration with Two Handed Melee Weapons on Enemies","双手近战武器攻击造成的晕眩时间延长 20%"
"20% increased Damage with Two Handed Weapons","双手武器的攻击伤害提高 20%"
"20% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持双手武器时，攻击技能造成的异常状态伤害提高 20%"
"24% increased Physical Damage with Two Handed Melee Weapons","双手近战武器攻击的物理伤害提高 24%"
"50% increased Damage with Hits against Enemies that are on Low Life","击中低血的敌人时，伤害提高 50%"
"8% increased Area of Effect if you've Killed Recently","近期内你若有击败敌人，则范围效果扩大 8%"
"24% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持双手武器时，攻击技能造成的异常状态伤害提高 24%"
"14% increased Physical Damage with Two Handed Melee Weapons","物理伤害在使用双手近战武器时提高 14%"
"14% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持双手武器时，攻击技能造成的异常状态伤害提高 14%"
"5% increased Area of Effect","效果区域扩大 5%"
"Damage with Weapons Penetrates 8% Fire Resistance","武器造成的伤害穿透 8% 火焰抗性"
"30% increased Fire Damage with Attack Skills","攻击技能的火焰伤害提高 30%"
"12% increased Fire Damage with Attack Skills","攻击技能的火焰伤害提高 12%"
"+20 to Accuracy Rating","+20 命中值"
"12% increased Projectile Damage","投射物伤害提高 12%"
"+20 to Dexterity","+20 敏捷"
"+10 to Dexterity","+10 敏捷"
"6% increased Armour","护甲提高 6%"
"4% increased maximum Life","生命上限提高 4%"
"12% increased Armour","该装备的护甲提高 12%"
"Regenerate 0.8% of Life per second","每秒再生 0.8% 生命"
"12% increased Physical Damage with Two Handed Melee Weapons","物理伤害在使用双手近战武器时提高 12%"
"12% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持双手武器时，攻击技能造成的异常状态伤害提高 12%"
"25% increased Physical Damage with Two Handed Melee Weapons","物理伤害在使用双手近战武器时提高 25%"
"5% increased Attack Speed with Two Handed Melee Weapons","双手近战武器攻击的攻击速度加快 5%"
"25% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon","持双手武器时，攻击技能造成的异常状态伤害提高 25%"
"+20 to Strength","+20 力量"
"12% increased Physical Damage with One Handed Melee Weapons","近战单手武器攻击的物理伤害提高 12%"
"12% increased Damage with Ailments from Attack Skills while wielding a One Handed Weapon","持单手武器时，攻击技能造成的异常状态伤害提高 12%"
"25% increased Physical Damage with One Handed Melee Weapons","单手近战武器的物理伤害提高 25%"
"5% increased Attack Speed with One Handed Melee Weapons","近战单手武器攻击的攻击速度加快 5%"
"25% increased Damage with Ailments from Attack Skills while wielding a One Handed Weapon","持单手武器时，攻击技能造成的异常状态伤害提高 25%"
"12% increased Melee Physical Damage","近战物理伤害提高 12%"
"12% increased Damage with Ailments from Attack Skills while wielding a Melee Weapon","持近战武器时，攻击技能造成的异常状态伤害提高 12%"
"4% increased Attack Speed","攻击速度加快 4%"
"6% increased maximum Energy Shield","能量护盾上限提高 6%"
