Strength,力量
Dexterity,敏捷
Intelligence,智慧
"Energy Shield",能量护盾
Armour,护甲
"Fire Resistance",火焰抗性
"Cold Resistance",冰霜抗性
"Lightning Resistance",闪电抗性
"Chaos Resistance",混沌抗性
Slayer,处刑者
Gladiator,卫士
Champion,冠军
Assassin,暗影
Saboteur,破坏者
Trickster,欺诈师
Juggernaut,勇士
Berserker,暴徒
Chieftain,酋长
Occultist,秘术家
Elementalist,元素使
Deadeye,锐眼
Raider,侠客
Pathfinder,追猎者
Inquisitor,判官
Hierophant,圣宗
Guardian,守护者
Ascendant,升华使徒
Evasion,闪避值
"Lightning Walker",雷灵之道
"Fire Walker",火灵之道
"Frost Walker",冰灵之道
"Elemental Damage",元素伤害
"Two Handed Melee Damage and Attack Speed",双手武器伤害和攻击速度
"Wrecking Ball",崩雷
Executioner,处决者
"Two Handed Melee Damage",双手武器近战伤害
"Two Handed Melee Damage and Area of Effect",双手武器近战伤害和效果区域
"Two Hand Mastery",双手武器专精
"Lava Lash",熔岩之力
"Weapon Fire Damage",武器火焰伤害
"Path of the Hunter",猎人之路
"Life and Armour",生命与护甲
"Life Regeneration",生命回复
Butchery,屠夫
"One Handed Melee Damage",单手武器近战伤害
"Strong Arm",强壮手臂
"Melee Damage",近战伤害
"Attack Speed",攻击速度
"Energy Shield and Recovery",能量护盾与回复
"Minion Attack and Cast Speed",召唤生物攻击和施法速度
"Shield Block and Block Recovery",盾牌格挡与格挡回复
Testudo,龟甲盾
"Shield Defences",盾牌防御
"Shield Mastery",盾牌专精
"Block Chance and Attack Damage with Shield",持盾格挡几率和攻击伤害
"Attack Damage and Attack Speed with Shield",持盾攻击伤害和攻击速度
Retaliation,复仇
"Staff Attack Speed and Accuracy",长杖攻击速度和命中值
"Ophidian Aim",毒蛇瞄准
"Staff Mastery",长杖专精
DUELIST,决斗者
"Attack Speed and Accuracy",攻击速度与命中
"Physical Attack Damage and Life",物理伤害与生命
"Two Handed Melee Damage and Leech",双手武器近战伤害和偷取
"Two Handed Melee Damage and Life Leech Speed",双手武器近战伤害和生命偷取速度
"Martial Experience",沙场历练
"Mana Mastery",魔力专精
"Life and Mana Leech",生命与魔力偷取
"Spirit Void",精华抽取
"Vitality Void",活力虚空
"Totem and Brand Damage",图腾和烙印伤害
"Totem Placement Speed and Brand Range",图腾放置速度和烙印范围
"Totem Life and Elemental Resistances, Brand Range",图腾生命和元素抗性，烙印范围
"Totem Attack and Cast Speed, Brand Frequency","图腾攻击, 施法速度，烙印激活速度"
"Totem Mastery",图腾专精
"Lord of the Dead",亡灵之主
"Arcing Blows",电能之击
"Weapon Lightning Damage",武器闪电伤害
"Crackling Speed",神速暴裂
"Lightning Mastery",闪电专精
"Totem Life and Placement Speed",图腾生命和放置速度
Ironwood,铁木
"Totem Damage, Attack and Cast Speed","图腾伤害, 攻击和施法速度"
"Totem Life and Elemental Resistances",图腾生命和元素抗性
"Mana and Reduced Mana Cost",魔力与减少魔力消耗
"Righteous Decree",正义审判
"Staff Block, Attack and Cast Speed",长杖格挡，攻击和施法速度
"Whirling Barrier",杖影屏障
"Smashing Strikes",沉重之击
