"Spectral Shield Throw",盾靈投擲
Fireball,火球
"Ice Nova",冰霜新星
"Leap Slam",躍擊
"Charged Dash",雷霆衝鋒
"Blade Flurry",刀鋒亂舞
Sweep,橫掃
"Discorectangle Slam",魔方之擊
"Ground Slam",裂地之擊
Cleave,劈砍
"Shield Charge",重盾衝鋒
"Enduring Cry",堅決戰吼
"Double Strike",雙重打擊
Lacerate,破空斬
"Elemental Hit",元素打擊
"Immortal Call",不朽怒嚎
"Dual Strike",雙持打擊
"Whirling Blades",迴旋之刃
Frenzy,狂怒
"Cold Snap",霜暴
"Raise Zombie",殭屍復甦
"Detonate Dead",屍體爆破
"Volatile Dead",致命之息
Unearth,屍術矢
Snipe,狙擊
"Caustic Arrow",腐蝕箭矢
"Creeping Frost",寒霜滲透
"Ice Shot",冰霜射擊
"Static Strike",充能打擊
"Split Arrow",分裂箭矢
"Damage Infusion",傷害灌注
"Blood Rage",鮮血狂怒
Icefire,霜火
"Righteous Fire",正義之火
"Fire Weapon",烈焰武器
Discharge,解放
Portal,時空之門
Riptide,激流
Backstab,背刺
"Flicker Strike",閃現打擊
Spark,電球
"Ice Spear",冰矛
"Raise Spectre",喚醒幽魂
"Infernal Blow",煉獄之擊
"Glacial Hammer",冰霜之錘
"Frost Wall",冰牆
"Freezing Pulse",冰霜脈衝
"Shock Nova",閃電新星
"New Shock Nova",新式閃電新星
"Viper Strike",毒蛇打擊
"Phase Run",暗影迷蹤
"Explosive Arrow",爆炸箭矢
"Temporal Chains",時空鎖鏈
"Elemental Weakness",元素要害
"Warlord's Mark",督軍印記
Punishment,懲戒
NewPunishment,新懲戒
Enfeeble,衰弱
"Assassin's Mark",刺客印記
"Sniper's Mark",狙擊者印記
Despair,絕望
"Lightning Warp",閃電傳送
"Summon Skeletons",召喚骷髏
"Summon Skeletons Channelled",引導召喚骷髏
Riposte,擊刃
Vengeance,復仇
Reckoning,清算
"Heavy Strike",沉重之擊
"Dominating Blow",霸氣之擊
"Rain of Arrows",箭雨
Firestorm,烈炎風暴
"Lightning Strike",閃電打擊
"Tempest Shield",暴風之盾
"Molten Shell",熔岩護盾
"Power Siphon",力量抽取
Puncture,放血
"Lightning Arrow",閃電箭矢
Arc,電弧
Haste,迅捷
"Purity of Elements",元素淨化
Vitality,活力
Discipline,紀律
Grace,優雅
Determination,堅定
Anger,憤怒
Hatred,憎恨
Wrath,雷霆
"Burning Arrow",燃燒箭矢
Clarity,清晰
"Shockwave Totem",震波圖騰
"Rejuvenation Totem",回春圖騰
"Icicle Mine",冰雹地雷
"Conversion Trap",迷魅陷阱
"Bear Trap",捕熊陷阱
"Fire Trap",火焰陷阱
"Decoy Totem",誘餌圖騰
"Devouring Totem",吞噬圖騰
"Ethereal Knives",虛空匕首
"Arctic Armour",極地裝甲
"Holy Flame Totem",神聖火舌圖騰
Flammability,易燃
Frostbite,凍傷
Conductivity,導電
Incinerate,燒毀
Cyclone,旋風斬
"Searing Bond",灼熱連結
Reave,衝擊波
"Lightning Trap",閃電陷阱
"Smoke Mine",煙霧地雷
"Animate Guardian",幻化守衛
"Spectral Throw",靈體投擲
"Animate Weapon",幻化武器
"Purity of Fire",火焰淨化
"Vaal Impurity of Fire",瓦爾．不淨之火
"Purity of Ice",冰霜淨化
"Vaal Impurity of Ice",瓦爾．不淨之冰
"Purity of Lightning",閃電淨化
"Vaal Impurity of Lightning",瓦爾．不淨之雷
"Storm Call",風暴呼喚
Flameblast,烈焰爆破
Barrage,彈幕輔助
"Ball Lightning",天雷之珠
"Vortex Mine",漩渦地雷
Wildfire,地獄火群
